,"Life Expectancy"
"1950",48.37
"1951",48.81
"1952",49.24
"1953",49.68
"1954",50.12
"1955",50.55
"1956",50.99
"1957",51.42
"1958",51.86
"1959",52.32
"1960",53.49
"1961",53.97
"1962",54.45
"1963",54.94
"1964",55.43
"1965",55.91
"1966",56.36
"1967",56.77
"1968",57.15
"1969",57.48
"1970",57.76
"1971",58
"1972",58.18
"1973",58.09
"1974",58.19
"1975",58.25
"1976",57.63
"1977",57
"1978",54.73
"1979",54.92
"1980",59.06
"1981",59.45
"1982",59.86
"1983",59.99
"1984",60.62
"1985",60.9
"1986",60.98
"1987",60.72
"1988",60.24
"1989",59.45
"1990",58.32
"1991",57.04
"1992",55.6
"1993",53.98
"1994",52.54
"1995",51.14
"1996",48.98
"1997",48.54
"1998",47.55
"1999",46.38
"2000",46.03
"2001",44.53
"2002",45.94
"2003",45.37
"2004",46.04
"2005",46.57
"2006",47.06
"2007",47.58
"2008",48.46
"2009",49.75
"2010",51.93
"2011",53.91
"2012",55.39
"2013",56.84
"2014",58.11
"2015",58.99
"2016",59.76
"2017",60.26
"2018",60.91
"2019",61.06
"2020",61.53
"2021",60.14
"2022",62.36
"2023",62.78
"2024",62.41
"2025",62.67
